subsystem,name,request_header,response_header,mode_pid,required_session,formula,unit,status,source,notes
engine,Engine oil temperature,7E0,7E8,2211BE,03,"(((A*256)+B)-2731)/10",degC,vehicle-verified,original-repo,"Known working on original Golf 7 GTD"
dsg,DSG oil temperature,7E1,7E9,222104,03,A,degC,vehicle-verified,original-repo,"Encoding is controller-specific; retain vehicle-tested A formula"
dpf,DPF soot mass measured,7E0,7E8,221ABE,default,"signed16(A,B)/100",g,platform-candidate,OBDb-Audi-Q3,"MQB candidate"
dpf,DPF soot mass calculated,7E0,7E8,222609,default,"signed16(A,B)/100",g,platform-candidate,OBDb-Audi-Q3,"MQB candidate; confirm exact ECU family"
dpf,Distance since last regeneration,7E0,7E8,221ABA,default,"uint16(A,B)/10",km,platform-candidate,OBDb-Audi-Q3,"Useful reset event for regeneration validation"
dpf,Regeneration status,7E0,7E8,221AD4,default,"uint16(A,B)",raw,raw-only,OBDb-Audi-Q3,"Enum/bit semantics still need target capture"
dpf,Time since last regeneration,7E0,7E8,221AC3,default,"uint16(A,B)*127.998/65535",h,platform-candidate,OBDb-Audi-Q3,""
dpf,Regeneration time counter,7E0,7E8,221AC0,default,"uint16(A,B)*0.64",s,platform-candidate,OBDb-Audi-Q3,""
dpf,Service regeneration current duration,7E0,7E8,221AC4,default,"uint16(A,B)*0.64",s,platform-candidate,OBDb-Audi-Q3,""
dpf,Fuel used since last regeneration,7E0,7E8,221AC1,default,"uint16(A,B)/100",L,platform-candidate,OBDb-Audi-Q3,""
dpf,Regeneration blocked status,7E0,7E8,221AC8,default,A,raw,raw-only,OBDb-Audi-Q3,"Enum semantics unverified"
dpf,Interrupted regenerations,7E0,7E8,221AC9,default,A,count,platform-candidate,OBDb-Audi-Q3,""
dpf,DPF inlet temperature,7E0,7E8,2211B2,default,"uint16(A,B)/10-273.1",degC,platform-candidate,"OBDb-Audi-Q3;T6Forum","Corroborated across VAG diesel sources"
dpf,DPF outlet temperature,7E0,7E8,2210F9,default,"uint16(A,B)/10-273.1",degC,platform-candidate,"OBDb-Audi-Q3;T6Forum","Corroborated across VAG diesel sources"
dpf,DPF oil ash mass,7E0,7E8,221ABD,default,"uint32(A,B,C,D)*0.0011921/10000",g,platform-candidate,OBDb-Audi-Q3,"Confirm scaling on target ECU"
dpf,DPF ash load limit,7E0,7E8,221ABF,default,"uint16(A,B)*78.125/10000",g,platform-candidate,OBDb-Audi-Q3,""
dpf,Service regeneration status,7E0,7E8,22115C,default,A,raw,raw-only,OBDb-Audi-Q3,"Enum semantics unverified"
dpf,Soot mass measured alternate,7E0,7E8,22114E,03,"signed16(A,B)/100",g,session03-candidate,"OBDb-Audi-Q3;T6Forum","Requires extended session in OBDb source"
dpf,Soot mass calculated alternate,7E0,7E8,22114F,03,"uint16(A,B)/100",g,session03-candidate,"OBDb-Audi-Q3;T6Forum","Requires extended session in OBDb source"
dpf,DPF surface temperature,7E0,7E8,221044,03,"uint16(A,B)/10-273.1",degC,session03-candidate,"OBDb-Volkswagen-Golf;OBDb-Audi-Q3",""
dpf,Differential pressure,7E0,7E8,2214F5,03,"signed16(A,B)",raw,session03-candidate,OBDb-Audi-Q3,"Physical unit/scaling not yet trusted"
dpf,Distance since last regeneration alternate,7E0,7E8,221156,03,"uint32(A,B,C,D)/1000",km,session03-candidate,"OBDb-Audi-Q3;T6Forum","Byte positions can differ in community Torque formulas; capture raw response"
engine,Boost pressure absolute,7E0,7E8,221057,default,"uint16(A,B)/1000",bar,platform-candidate,OBDb-Audi-Q3,""
